MovieID,Title,Genres,Language,Country,Total Views,YEAR
54,"Big Green, The (1995)",Children's|Comedy,French,UK,31907,1995
55,Georgia (1995),Drama,French,UK,71386,1995
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,French,Canada,12661,1995
57,Home for the Holidays (1995),Drama,Spanish,Canada,17251,1995
58,"Postino, Il (The Postman) (1994)",Drama|Romance,German,France,3466,1994
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,French,UK,75571,1995
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,English,France,33177,1995
61,Eye for an Eye (1996),Drama|Thriller,German,Canada,82291,1996
62,Mr. Holland's Opus (1995),Drama,French,France,44033,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,Italian,UK,5798,1996
64,Two if by Sea (1996),Comedy|Romance,French,UK,71031,1996
65,Bio-Dome (1996),Comedy,Spanish,USA,39634,1996
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,German,Italy,79659,1996
67,Two Bits (1995),Drama,Spanish,USA,64963,1995
68,French Twist (Gazon maudit) (1995),Comedy|Romance,French,USA,22424,1995
69,Friday (1995),Comedy,Spanish,India,57490,1995
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,French,UK,31523,1996
71,Fair Game (1995),Action,Italian,France,3878,1995
72,Kicking and Screaming (1995),Comedy|Drama,Spanish,UK,89414,1995
73,"Misérables, Les (1995)",Drama|Musical,Spanish,USA,60469,1995
74,Bed of Roses (1996),Drama|Romance,Spanish,USA,47208,1996
75,Big Bully (1996),Comedy|Drama,German,Canada,72712,1996
76,Screamers (1995),Sci-Fi|Thriller,English,France,87717,1995
77,Nico Icon (1995),Documentary,English,USA,25310,1995
78,"Crossing Guard, The (1995)",Drama,German,USA,29119,1995
79,"Juror, The (1996)",Drama|Thriller,Italian,Italy,62017,1996
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,Italian,Italy,26286,1995
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,Italian,India,64321,1995
82,Antonia's Line (Antonia) (1995),Drama,English,Canada,4373,1995
83,Once Upon a Time... When We Were Colored (1995),Drama,English,USA,58713,1995
84,Last Summer in the Hamptons (1995),Comedy|Drama,German,Canada,38384,1995
85,Angels and Insects (1995),Drama|Romance,Italian,USA,73246,1995
86,White Squall (1996),Adventure|Drama,Italian,France,17692,1996
87,Dunston Checks In (1996),Children's|Comedy,Italian,Canada,25583,1996
88,Black Sheep (1996),Comedy,English,France,96230,1996
89,Nick of Time (1995),Action|Thriller,English,UK,85159,1995
90,"Journey of August King, The (1995)",Drama,Italian,Italy,82407,1995
92,Mary Reilly (1996),Drama|Thriller,Italian,USA,33125,1996
93,Vampire in Brooklyn (1995),Comedy|Romance,Spanish,Italy,60342,1995
94,Beautiful Girls (1996),Drama,English,UK,69599,1996
95,Broken Arrow (1996),Action|Thriller,German,Canada,23271,1996
96,In the Bleak Midwinter (1995),Comedy,English,USA,9483,1995
97,"Hate (Haine, La) (1995)",Drama,French,India,88043,1995
98,Shopping (1994),Action|Thriller,Italian,Italy,57302,1994
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Italian,Canada,25024,1995
100,City Hall (1996),Drama|Thriller,Italian,UK,23783,1996
101,Bottle Rocket (1996),Comedy,English,Italy,59763,1996
102,Mr. Wrong (1996),Comedy,French,Italy,92015,1996
103,Unforgettable (1996),Thriller,German,Canada,43078,1996
104,Happy Gilmore (1996),Comedy,German,India,2602,1996
105,"Bridges of Madison County, The (1995)",Drama|Romance,Spanish,India,93429,1995
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,French,USA,86236,1994
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,French,Italy,74030,1996
108,Catwalk (1995),Documentary,German,India,22527,1995
109,Headless Body in Topless Bar (1995),Comedy,German,Italy,59714,1995
110,Braveheart (1995),Action|Drama|War,Italian,UK,6573,1995
111,Taxi Driver (1976),Drama|Thriller,Spanish,India,91445,1976
112,Rumble in the Bronx (1995),Action|Adventure|Crime,English,India,30625,1995
113,Before and After (1996),Drama|Mystery,German,Canada,92556,1996
114,Margaret's Museum (1995),Drama,German,Italy,92562,1995
115,Happiness Is in the Field (1995),Comedy,French,Canada,48416,1995
116,Anne Frank Remembered (1995),Documentary,Spanish,India,66807,1995
117,"Young Poisoner's Handbook, The (1995)",Crime,German,Canada,3446,1995
118,If Lucy Fell (1996),Comedy|Romance,German,India,21108,1996
119,"Steal Big, Steal Little (1995)",Comedy,Spanish,UK,98849,1995
120,Race the Sun (1996),Drama,English,India,31897,1996
121,"Boys of St. Vincent, The (1993)",Drama,Spanish,Canada,45843,1993
122,Boomerang (1992),Comedy|Romance,Spanish,India,58203,1992
123,Chungking Express (1994),Drama|Mystery|Romance,German,USA,55370,1994
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,English,USA,77201,1995
125,Flirting With Disaster (1996),Comedy,Spanish,France,96627,1996
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,Spanish,France,47617,1994
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,Italian,USA,72789,1994
128,Jupiter's Wife (1994),Documentary,English,France,16764,1994
129,Pie in the Sky (1995),Comedy|Romance,English,India,28538,1995
130,Angela (1995),Drama,French,UK,11996,1995
131,Frankie Starlight (1995),Drama|Romance,English,USA,83400,1995
132,Jade (1995),Thriller,French,Italy,37936,1995
133,Nueba Yol (1995),Comedy|Drama,Italian,Canada,95234,1995
134,Sonic Outlaws (1995),Documentary,English,UK,91695,1995
135,Down Periscope (1996),Comedy,French,Canada,52277,1996
136,From the Journals of Jean Seberg (1995),Documentary,German,UK,62013,1995
137,Man of the Year (1995),Documentary,Spanish,UK,74222,1995
138,"Neon Bible, The (1995)",Drama,Spanish,Italy,13075,1995
139,Target (1995),Action|Drama,English,France,97467,1995
140,Up Close and Personal (1996),Drama|Romance,Spanish,India,40484,1996
141,"Birdcage, The (1996)",Comedy,French,UK,49504,1996
142,Shadows (Cienie) (1988),Drama,English,France,18264,1988
143,Gospa (1995),Drama,English,India,82558,1995
144,"Brothers McMullen, The (1995)",Comedy,German,USA,18915,1995
145,Bad Boys (1995),Action,English,Italy,72607,1995
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,English,USA,68033,1995
147,"Basketball Diaries, The (1995)",Drama,Spanish,France,31844,1995
148,"Awfully Big Adventure, An (1995)",Drama,Spanish,Canada,35793,1995
149,Amateur (1994),Crime|Drama|Thriller,French,USA,8796,1994
150,Apollo 13 (1995),Drama,Italian,USA,33376,1995
151,Rob Roy (1995),Drama|Romance|War,Italian,UK,40670,1995
152,"Addiction, The (1995)",Horror,French,Italy,64261,1995
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Spanish,USA,23973,1995
154,Belle de jour (1967),Drama,Italian,India,10884,1967
155,Beyond Rangoon (1995),Drama|War,Spanish,Italy,87349,1995
156,Blue in the Face (1995),Comedy,Italian,France,14767,1995
157,Canadian Bacon (1994),Comedy|War,French,India,51718,1994
158,Casper (1995),Adventure|Children's,English,USA,66877,1995
159,Clockers (1995),Drama,German,India,64558,1995
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,English,Canada,63132,1995
161,Crimson Tide (1995),Drama|Thriller|War,Spanish,Italy,45161,1995
162,Crumb (1994),Documentary,French,Canada,71978,1994
163,Desperado (1995),Action|Romance|Thriller,Italian,France,68799,1995
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Italian,France,29235,1995
165,Die Hard: With a Vengeance (1995),Action|Thriller,English,Canada,88265,1995
166,"Doom Generation, The (1995)",Comedy|Drama,Italian,USA,97949,1995
167,Feast of July (1995),Drama,Spanish,UK,31179,1995
168,First Knight (1995),Action|Adventure|Drama|Romance,Italian,Italy,67689,1995
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,German,USA,88892,1995
170,Hackers (1995),Action|Crime|Thriller,German,India,23560,1995
171,Jeffrey (1995),Comedy,French,Canada,98725,1995
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,German,France,31896,1995
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,Spanish,USA,58497,1995
174,Jury Duty (1995),Comedy,German,Italy,11046,1995
175,Kids (1995),Drama,Italian,India,29709,1995
176,Living in Oblivion (1995),Comedy,English,Italy,94076,1995
177,Lord of Illusions (1995),Horror,Spanish,India,14231,1995
178,Love & Human Remains (1993),Comedy,Italian,Italy,78513,1993
179,Mad Love (1995),Drama|Romance,French,UK,72933,1995
180,Mallrats (1995),Comedy,Spanish,Italy,88028,1995
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,French,USA,83712,1995
182,Moonlight and Valentino (1995),Drama|Romance,Italian,France,1740,1995
183,Mute Witness (1994),Thriller,English,USA,46855,1994
184,Nadja (1994),Drama,English,France,22747,1994
185,"Net, The (1995)",Sci-Fi|Thriller,German,Canada,23169,1995
186,Nine Months (1995),Comedy,German,USA,59963,1995
187,Party Girl (1995),Comedy,German,India,59835,1995
188,"Prophecy, The (1995)",Horror,German,Canada,63522,1995
189,Reckless (1995),Comedy,French,Canada,71202,1995
190,Safe (1995),Thriller,German,UK,92196,1995
191,"Scarlet Letter, The (1995)",Drama,Italian,Canada,13392,1995
192,"Show, The (1995)",Documentary,Italian,USA,61985,1995
193,Showgirls (1995),Drama,English,Italy,57941,1995
194,Smoke (1995),Drama,Italian,France,95316,1995
195,Something to Talk About (1995),Comedy|Drama|Romance,Italian,Italy,53283,1995
196,Species (1995),Horror|Sci-Fi,English,Italy,16152,1995
197,"Stars Fell on Henrietta, The (1995)",Drama,German,Italy,99939,1995
198,Strange Days (1995),Action|Crime|Sci-Fi,Spanish,France,79748,1995
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,English,UK,64286,1964
200,"Tie That Binds, The (1995)",Thriller,French,Canada,64644,1995
201,Three Wishes (1995),Drama,German,France,44347,1995
202,Total Eclipse (1995),Drama|Romance,French,France,41331,1995
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,French,Canada,72214,1995
204,Under Siege 2: Dark Territory (1995),Action,Italian,Italy,81932,1995
205,Unstrung Heroes (1995),Comedy|Drama,English,India,87342,1995
206,Unzipped (1995),Documentary,German,Canada,27059,1995
207,"Walk in the Clouds, A (1995)",Drama|Romance,Italian,Italy,9593,1995
208,Waterworld (1995),Action|Adventure,German,Italy,89561,1995
209,White Man's Burden (1995),Drama,English,USA,24405,1995
210,Wild Bill (1995),Western,German,India,78979,1995
211,"Browning Version, The (1994)",Drama,German,France,48307,1994
212,Bushwhacked (1995),Comedy,German,France,21038,1995
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,French,USA,95325,1994
214,Before the Rain (Pred dozhdot) (1994),Drama,Spanish,Canada,29659,1994
215,Before Sunrise (1995),Drama|Romance,English,USA,46925,1995
216,Billy Madison (1995),Comedy,German,Italy,16502,1995
217,"Babysitter, The (1995)",Drama|Thriller,Italian,UK,34150,1995
218,Boys on the Side (1995),Comedy|Drama,Italian,Canada,56455,1995
219,"Cure, The (1995)",Drama,Spanish,India,37262,1995
220,Castle Freak (1995),Horror,English,France,84446,1995
222,Circle of Friends (1995),Drama|Romance,Italian,Canada,39286,1995
223,Clerks (1994),Comedy,French,UK,47752,1994
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,German,Canada,75365,1995
225,Disclosure (1994),Drama|Thriller,German,UK,6444,1994
226,Dream Man (1995),Thriller,Spanish,Canada,68126,1995
227,Drop Zone (1994),Action,German,Italy,66427,1994
228,Destiny Turns on the Radio (1995),Comedy,French,Italy,81658,1995
229,Death and the Maiden (1994),Drama|Thriller,English,France,50942,1994
230,Dolores Claiborne (1994),Drama|Thriller,Spanish,France,64789,1994
231,Dumb & Dumber (1994),Comedy,English,India,59321,1994
232,Eat Drink Man Woman (1994),Comedy|Drama,English,India,41470,1994
233,Exotica (1994),Drama,German,France,99707,1994
234,Exit to Eden (1994),Comedy,Spanish,India,4986,1994
235,Ed Wood (1994),Comedy|Drama,French,Italy,96646,1994
236,French Kiss (1995),Comedy|Romance,German,France,36010,1995
237,Forget Paris (1995),Comedy|Romance,German,UK,38472,1995
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,German,Canada,59607,1995
239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,English,Canada,35812,1995
240,Hideaway (1995),Thriller,Spanish,France,55161,1995
241,Fluke (1995),Children's|Drama,German,India,92416,1995
242,Farinelli: il castrato (1994),Drama|Musical,Spanish,UK,31093,1994
243,Gordy (1995),Comedy,German,Italy,98151,1995
244,Gumby: The Movie (1995),Animation|Children's,Italian,Italy,9911,1995
245,"Glass Shield, The (1994)",Crime|Drama,Spanish,Italy,91986,1994
246,Hoop Dreams (1994),Documentary,Spanish,France,98198,1994
247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,French,Italy,40411,1994
248,Houseguest (1994),Comedy,German,Canada,24450,1994
249,Immortal Beloved (1994),Drama|Romance,French,Italy,87844,1994
250,Heavyweights (1994),Children's|Comedy,Italian,France,39801,1994
251,"Hunted, The (1995)",Action,English,Canada,61079,1995
252,I.Q. (1994),Comedy|Romance,French,France,19711,1994
253,Interview with the Vampire (1994),Drama|Horror,German,France,59952,1994
254,Jefferson in Paris (1995),Drama,English,France,58062,1995
255,"Jerky Boys, The (1994)",Comedy,English,UK,53835,1994
256,Junior (1994),Comedy|Sci-Fi,Italian,USA,50374,1994
257,Just Cause (1995),Mystery|Thriller,Italian,France,39610,1995
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance,French,USA,81252,1995
259,Kiss of Death (1995),Crime|Drama|Thriller,Italian,France,72724,1995
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,Spanish,France,6999,1977
261,Little Women (1994),Drama,French,Italy,33536,1994
262,"Little Princess, A (1995)",Children's|Drama,Italian,Italy,81269,1995
263,Ladybird Ladybird (1994),Drama,Spanish,France,7920,1994
264,"Enfer, L' (1994)",Drama,German,France,35437,1994
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,Spanish,India,28554,1992
266,Legends of the Fall (1994),Drama|Romance|War|Western,English,France,86890,1994
267,Major Payne (1994),Comedy,French,UK,28606,1994
268,Little Odessa (1994),Drama,Italian,Italy,68264,1994
269,My Crazy Life (Mi vida loca) (1993),Drama,Italian,Italy,99707,1993
270,Love Affair (1994),Drama|Romance,French,Canada,14485,1994
271,Losing Isaiah (1995),Drama,English,Canada,52290,1995
272,"Madness of King George, The (1994)",Drama,German,Italy,35569,1994
273,Mary Shelley's Frankenstein (1994),Drama|Horror,French,France,20504,1994
274,Man of the House (1995),Comedy,Italian,UK,44241,1995
275,Mixed Nuts (1994),Comedy,French,India,89459,1994
276,Milk Money (1994),Comedy|Romance,Italian,Canada,29952,1994
277,Miracle on 34th Street (1994),Drama,English,Canada,15802,1994
278,Miami Rhapsody (1995),Comedy,Italian,USA,44822,1995
279,My Family (1995),Drama,Spanish,France,61917,1995
280,Murder in the First (1995),Drama|Thriller,French,Italy,20830,1995
281,Nobody's Fool (1994),Drama,English,USA,19780,1994
282,Nell (1994),Drama,Spanish,India,56967,1994
283,New Jersey Drive (1995),Crime|Drama,French,India,15267,1995
284,New York Cop (1996),Action|Crime,Spanish,Canada,43512,1996
285,Beyond Bedlam (1993),Drama|Horror,Spanish,France,17852,1993
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,Spanish,UK,22777,1995
287,Nina Takes a Lover (1994),Comedy|Romance,Spanish,UK,53849,1994
288,Natural Born Killers (1994),Action|Thriller,German,India,71580,1994
289,Only You (1994),Comedy|Romance,German,USA,11883,1994
290,Once Were Warriors (1994),Crime|Drama,Italian,USA,77184,1994
291,Poison Ivy II (1995),Thriller,English,UK,51429,1995
292,Outbreak (1995),Action|Drama|Thriller,French,France,14801,1995
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,Italian,France,86482,1994
294,"Perez Family, The (1995)",Comedy|Romance,Italian,Italy,99511,1995
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,German,India,54435,1995
296,Pulp Fiction (1994),Crime|Drama,German,UK,88088,1994
297,Panther (1995),Drama,German,France,95668,1995
298,Pushing Hands (1992),Comedy,German,UK,69031,1992
299,Priest (1994),Drama,German,UK,36275,1994
300,Quiz Show (1994),Drama,Spanish,Italy,1998,1994
301,Picture Bride (1995),Drama|Romance,German,India,27468,1995
302,Queen Margot (La Reine Margot) (1994),Drama|Romance,Italian,USA,59757,1994
303,"Quick and the Dead, The (1995)",Action|Adventure|Western,German,France,83192,1995
304,Roommates (1995),Comedy|Drama,German,India,86279,1995
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,Italian,UK,53105,1994
306,Three Colors: Red (1994),Drama,English,USA,92912,1994
307,Three Colors: Blue (1993),Drama,English,India,27548,1993
308,Three Colors: White (1994),Drama,Italian,France,84468,1994
309,"Red Firecracker, Green Firecracker (1994)",Drama,German,France,72056,1994
310,Rent-a-Kid (1995),Comedy,German,UK,52788,1995
311,Relative Fear (1994),Horror|Thriller,German,UK,83795,1994
312,Stuart Saves His Family (1995),Comedy,Spanish,UK,54560,1995
313,"Swan Princess, The (1994)",Animation|Children's,French,Italy,43464,1994
314,"Secret of Roan Inish, The (1994)",Drama,French,Italy,83478,1994
315,"Specialist, The (1994)",Action,Italian,India,56926,1994
316,Stargate (1994),Action|Adventure|Sci-Fi,French,UK,29129,1994
317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,German,USA,17195,1994
318,"Shawshank Redemption, The (1994)",Drama,French,France,35083,1994
319,Shallow Grave (1994),Thriller,French,India,34330,1994
320,Suture (1993),Film-Noir|Thriller,English,India,18193,1993
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,English,France,12085,1993
322,Swimming with Sharks (1995),Comedy|Drama,English,Canada,14423,1995
324,"Sum of Us, The (1994)",Comedy,German,Canada,36898,1994
325,National Lampoon's Senior Trip (1995),Comedy,German,France,25430,1995
326,To Live (Huozhe) (1994),Drama,English,UK,56751,1994
327,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,Italian,India,18245,1995
328,Tales From the Crypt Presents: Demon Knight (1995),Horror,French,India,54921,1995
329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,German,India,52595,1994
330,Tales from the Hood (1995),Comedy|Horror,Spanish,UK,79725,1995
331,Tom & Viv (1994),Drama,German,Canada,17297,1994
332,Village of the Damned (1995),Horror|Sci-Fi,Italian,Canada,29471,1995
333,Tommy Boy (1995),Comedy,English,France,37402,1995
334,Vanya on 42nd Street (1994),Drama,German,Canada,83671,1994
335,"Underneath, The (1995)",Mystery|Thriller,French,France,44792,1995
336,"Walking Dead, The (1995)",Drama|War,French,Canada,25357,1995
337,What's Eating Gilbert Grape (1993),Drama,German,Canada,24279,1993
338,Virtuosity (1995),Sci-Fi|Thriller,German,USA,73889,1995
339,While You Were Sleeping (1995),Comedy|Romance,Spanish,USA,70377,1995
340,"War, The (1994)",Adventure|Drama,German,UK,78733,1994
341,Double Happiness (1994),Drama,Italian,Canada,34138,1994
342,Muriel's Wedding (1994),Comedy|Romance,French,UK,32993,1994
343,"Baby-Sitters Club, The (1995)",Children's,English,Canada,79408,1995
344,Ace Ventura: Pet Detective (1994),Comedy,English,USA,20004,1994
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,Spanish,UK,45243,1994
346,Backbeat (1993),Drama|Musical,French,India,29320,1993
347,Bitter Moon (1992),Drama,English,UK,59986,1992
348,Bullets Over Broadway (1994),Comedy,Spanish,Italy,46449,1994
349,Clear and Present Danger (1994),Action|Adventure|Thriller,Spanish,France,94911,1994
350,"Client, The (1994)",Drama|Mystery|Thriller,French,USA,14307,1994
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,French,India,59355,1994
352,Crooklyn (1994),Comedy,French,Italy,45284,1994
353,"Crow, The (1994)",Action|Romance|Thriller,French,USA,27749,1994
354,Cobb (1994),Drama,English,UK,49764,1994
355,"Flintstones, The (1994)",Children's|Comedy,French,Canada,86436,1994
356,Forrest Gump (1994),Comedy|Romance|War,English,France,65238,1994
357,Four Weddings and a Funeral (1994),Comedy|Romance,Spanish,Canada,65106,1994
358,Higher Learning (1995),Drama,French,Italy,63449,1995
359,I Like It Like That (1994),Comedy|Drama|Romance,Italian,USA,7886,1994
360,I Love Trouble (1994),Action|Comedy,German,France,80037,1994
361,It Could Happen to You (1994),Drama|Romance,Italian,Italy,24871,1994
362,"Jungle Book, The (1994)",Adventure|Children's|Romance,English,Canada,9482,1994
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary,Italian,USA,78850,1993
364,"Lion King, The (1994)",Animation|Children's|Musical,Spanish,Italy,61596,1994
365,Little Buddha (1993),Drama,French,Italy,76112,1993
366,Wes Craven's New Nightmare (1994),Horror,French,India,61011,1994
367,"Mask, The (1994)",Comedy|Crime|Fantasy,German,France,95885,1994
368,Maverick (1994),Action|Comedy|Western,French,Canada,90339,1994
369,Mrs. Parker and the Vicious Circle (1994),Drama,Spanish,Italy,59692,1994
370,Naked Gun 33 1/3: The Final Insult (1994),Comedy,German,France,12174,1994
371,"Paper, The (1994)",Comedy|Drama,Italian,India,32701,1994
372,Reality Bites (1994),Comedy|Drama,Spanish,USA,25266,1994
373,Red Rock West (1992),Thriller,French,Italy,68634,1992
374,Richie Rich (1994),Children's|Comedy,Spanish,USA,61033,1994
375,Safe Passage (1994),Drama,German,France,58036,1994
376,"River Wild, The (1994)",Action|Thriller,German,Canada,60836,1994
377,Speed (1994),Action|Romance|Thriller,Italian,India,60013,1994
378,Speechless (1994),Comedy|Romance,Spanish,Italy,12950,1994
379,Timecop (1994),Action|Sci-Fi,Italian,Italy,13074,1994
380,True Lies (1994),Action|Adventure|Comedy|Romance,Italian,France,99971,1994
381,When a Man Loves a Woman (1994),Drama,Italian,France,6294,1994
382,Wolf (1994),Drama|Horror,French,Italy,19239,1994
383,Wyatt Earp (1994),Western,French,UK,75291,1994
384,Bad Company (1995),Action,English,Canada,91941,1995
385,"Man of No Importance, A (1994)",Drama,German,Italy,73582,1994
386,S.F.W. (1994),Drama,Spanish,USA,65099,1994
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,German,UK,99007,1994
388,Boys Life (1995),Drama,French,Italy,59875,1995
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,Italian,USA,25467,1994
390,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama,German,India,9353,1965
391,Jason's Lyric (1994),Crime|Drama,Italian,UK,7223,1994
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's,German,India,41133,1993
393,Street Fighter (1994),Action,Italian,Italy,67143,1994
394,Coldblooded (1995),Action,German,UK,8536,1995
395,Desert Winds (1995),Drama,French,India,31017,1995
396,Fall Time (1995),Drama,English,France,80205,1995
397,"Fear, The (1995)",Horror,French,India,25566,1995
398,Frank and Ollie (1995),Documentary,Italian,UK,66939,1995
399,Girl in the Cadillac (1995),Drama,French,Italy,87192,1995
400,Homage (1995),Drama,Italian,France,50584,1995
401,Mirage (1995),Action|Thriller,Italian,Italy,38832,1995
402,Open Season (1996),Comedy,Italian,UK,48120,1996
403,Two Crimes (1995),Comedy|Crime|Drama,French,India,40386,1995
404,Brother Minister: The Assassination of Malcolm X (1994),Documentary,English,USA,68778,1994
405,Highlander III: The Sorcerer (1994),Action|Sci-Fi,Italian,Canada,11670,1994
406,Federal Hill (1994),Drama,English,USA,90895,1994
407,In the Mouth of Madness (1995),Horror|Thriller,French,Italy,92608,1995
408,8 Seconds (1994),Drama,French,India,28007,1994
409,Above the Rim (1994),Drama,French,UK,72848,1994
410,Addams Family Values (1993),Comedy,French,Canada,86896,1993
411,You So Crazy (1994),Comedy,German,USA,10780,1994
