UserID,Age,Gender,Country,SubscriptionStatus,TotalWatchTime,Device
SF_280,44,M,UK,Free,443,Tablet
SF_281,55,F,USA,Subscriber,299,Tablet
SF_282,13,M,Canada,Subscriber,79,Smart TV
SF_283,53,M,USA,Free,260,Smart TV
SF_284,48,M,Canada,Subscriber,22,Smart TV
SF_285,13,F,India,Subscriber,220,Mobile
SF_286,49,M,France,Free,351,Smart TV
SF_287,34,M,India,Free,339,Tablet
SF_288,43,F,India,Subscriber,53,Mobile
SF_289,18,F,USA,Free,391,Desktop
SF_290,14,F,Canada,Free,244,Smart TV
SF_291,60,M,Italy,Free,374,Smart TV
SF_292,28,M,USA,Free,451,Desktop
SF_293,19,M,UK,Subscriber,211,Mobile
SF_294,23,F,France,Subscriber,39,Mobile
SF_295,9,M,Italy,Subscriber,181,Mobile
SF_296,43,M,Canada,Subscriber,406,Mobile
SF_297,51,M,France,Free,429,Desktop
SF_298,60,F,France,Subscriber,53,Tablet
SF_299,59,M,UK,Free,18,Tablet
SF_300,43,M,India,Subscriber,359,Tablet
SF_301,36,M,Italy,Subscriber,490,Mobile
SF_302,35,M,Italy,Subscriber,129,Mobile
SF_303,37,M,India,Free,417,Mobile
SF_304,15,M,Italy,Free,106,Desktop
SF_305,37,F,Canada,Free,53,Tablet
SF_306,34,M,Italy,Free,236,Mobile
SF_307,41,M,France,Subscriber,462,Tablet
SF_308,38,M,France,Free,258,Desktop
SF_309,42,M,France,Free,62,Mobile
SF_310,23,F,USA,Subscriber,114,Tablet
SF_311,61,M,Canada,Free,346,Tablet
SF_312,50,F,France,Subscriber,344,Smart TV
SF_313,22,F,India,Free,476,Tablet
SF_314,20,F,USA,Free,38,Smart TV
SF_315,15,F,Canada,Free,227,Tablet
SF_316,45,M,France,Subscriber,427,Mobile
SF_317,11,M,Italy,Free,137,Smart TV
SF_318,13,F,USA,Subscriber,254,Tablet
SF_319,9,F,UK,Subscriber,255,Mobile
SF_320,21,M,France,Subscriber,124,Smart TV
SF_321,15,M,Canada,Free,455,Smart TV
SF_322,31,M,USA,Free,482,Smart TV
SF_323,13,M,Italy,Free,368,Desktop
SF_324,36,M,UK,Free,34,Mobile
SF_325,64,F,USA,Subscriber,419,Mobile
SF_326,35,M,UK,Subscriber,281,Tablet
SF_327,34,M,UK,Free,479,Mobile
SF_328,27,M,India,Subscriber,91,Smart TV
SF_329,22,M,Italy,Subscriber,244,Tablet
SF_330,25,M,Italy,Free,341,Mobile
SF_331,46,M,France,Free,174,Mobile
SF_332,11,M,USA,Subscriber,318,Desktop
SF_333,60,M,Canada,Subscriber,298,Mobile
SF_334,18,F,Canada,Free,457,Smart TV
SF_335,55,M,France,Free,237,Desktop
SF_336,58,M,UK,Free,184,Smart TV
SF_337,30,M,Canada,Free,185,Mobile
SF_338,29,M,India,Free,282,Mobile
SF_339,60,M,Italy,Subscriber,52,Mobile
SF_340,32,F,USA,Subscriber,27,Mobile
SF_341,28,F,USA,Subscriber,408,Smart TV
SF_342,54,M,Canada,Free,180,Smart TV
SF_343,55,F,Canada,Subscriber,277,Desktop
SF_344,21,M,France,Subscriber,30,Desktop
SF_345,45,M,USA,Subscriber,82,Mobile
SF_346,52,F,France,Free,249,Desktop
SF_347,30,F,USA,Free,251,Desktop
SF_348,43,M,USA,Subscriber,490,Mobile
SF_349,50,M,Italy,Free,21,Tablet
SF_350,21,M,India,Free,132,Smart TV
SF_351,30,M,UK,Subscriber,399,Desktop
SF_352,40,M,France,Subscriber,340,Desktop
SF_353,55,F,France,Free,411,Desktop
SF_354,16,M,Italy,Subscriber,387,Smart TV
SF_355,42,M,France,Free,56,Smart TV
SF_356,58,M,USA,Subscriber,300,Desktop
SF_357,49,M,Canada,Free,140,Mobile
SF_358,15,F,France,Subscriber,367,Tablet
SF_359,17,M,UK,Free,434,Smart TV
SF_360,13,M,India,Free,438,Mobile
SF_361,62,F,Canada,Subscriber,478,Desktop
SF_362,32,M,Italy,Subscriber,128,Desktop
SF_363,35,M,Canada,Free,76,Mobile
SF_364,25,F,Canada,Subscriber,381,Desktop
SF_365,50,F,Canada,Subscriber,406,Tablet
SF_366,47,M,Canada,Subscriber,342,Mobile
SF_367,15,M,France,Free,26,Smart TV
SF_368,59,M,Canada,Subscriber,500,Smart TV
SF_369,35,M,Italy,Free,459,Mobile
SF_370,37,M,UK,Subscriber,425,Tablet
SF_371,52,M,France,Free,158,Mobile
SF_372,11,F,France,Subscriber,269,Desktop
SF_373,10,F,Italy,Free,140,Tablet
SF_374,13,F,France,Free,45,Desktop
SF_375,45,M,France,Subscriber,314,Tablet
SF_376,37,M,Italy,Subscriber,77,Desktop
SF_377,23,M,UK,Subscriber,324,Mobile
SF_378,46,F,France,Subscriber,231,Smart TV
SF_379,44,F,France,Subscriber,430,Desktop
SF_380,13,M,Canada,Subscriber,466,Tablet
SF_381,64,M,UK,Free,296,Smart TV
SF_382,22,F,USA,Subscriber,372,Tablet
SF_383,25,F,Italy,Free,212,Desktop
SF_384,26,M,USA,Subscriber,312,Tablet
SF_385,19,M,Canada,Free,291,Mobile
SF_386,48,M,UK,Subscriber,383,Smart TV
SF_387,27,F,India,Subscriber,241,Smart TV
SF_388,17,F,UK,Free,252,Tablet
SF_389,11,M,France,Subscriber,383,Smart TV
SF_390,15,M,Italy,Free,239,Tablet
SF_391,36,M,Italy,Free,97,Smart TV
SF_392,40,M,UK,Subscriber,65,Tablet
SF_393,16,M,France,Free,487,Smart TV
SF_394,34,M,Italy,Subscriber,262,Tablet
SF_395,9,M,India,Free,101,Tablet
SF_396,48,M,Italy,Subscriber,477,Desktop
SF_397,27,M,UK,Subscriber,361,Mobile
SF_398,45,M,UK,Subscriber,82,Smart TV
SF_399,39,F,Canada,Free,168,Desktop
SF_400,44,F,Canada,Subscriber,327,Desktop
SF_401,20,M,France,Free,361,Tablet
SF_402,16,M,Canada,Free,491,Desktop
SF_403,14,M,Italy,Subscriber,473,Tablet
SF_404,31,M,UK,Free,19,Desktop
SF_405,28,M,India,Subscriber,32,Desktop
SF_406,55,M,Italy,Free,139,Mobile
SF_407,58,M,UK,Free,88,Desktop
SF_408,21,M,Canada,Subscriber,31,Mobile
SF_409,52,M,Italy,Subscriber,481,Mobile
SF_410,35,F,Italy,Subscriber,30,Desktop
SF_411,18,F,Canada,Subscriber,81,Smart TV
SF_412,11,M,France,Free,362,Desktop
SF_413,50,M,USA,Subscriber,70,Mobile
SF_414,58,M,France,Free,331,Smart TV
SF_415,21,F,UK,Free,103,Desktop
SF_416,23,M,USA,Free,351,Tablet
SF_417,27,F,India,Free,38,Tablet
SF_418,50,F,Italy,Free,354,Tablet
SF_419,49,M,USA,Subscriber,237,Mobile
SF_420,49,M,UK,Free,454,Tablet
SF_421,36,F,Italy,Free,251,Desktop
SF_422,54,M,Italy,Free,366,Smart TV
SF_423,29,M,France,Free,393,Mobile
SF_424,19,M,USA,Free,107,Desktop
SF_425,39,M,USA,Subscriber,229,Tablet
SF_426,9,M,Italy,Free,459,Desktop
SF_427,52,M,UK,Subscriber,11,Smart TV
SF_428,34,F,India,Free,160,Desktop
SF_429,30,M,Canada,Free,308,Desktop
SF_430,22,F,USA,Subscriber,325,Desktop
SF_431,42,M,Italy,Free,428,Mobile
SF_432,51,M,France,Subscriber,248,Mobile
SF_433,18,M,France,Subscriber,10,Tablet
SF_434,31,F,India,Free,371,Desktop
SF_435,40,M,USA,Subscriber,433,Smart TV
SF_436,40,M,Canada,Free,362,Mobile
SF_437,32,M,Italy,Subscriber,37,Tablet
SF_438,34,M,France,Free,190,Tablet
SF_439,56,M,Canada,Subscriber,400,Tablet
SF_440,60,M,Canada,Free,234,Mobile
SF_441,63,M,USA,Free,388,Desktop
SF_442,40,M,Canada,Free,417,Mobile
SF_443,35,M,Canada,Subscriber,444,Smart TV
SF_444,46,M,Canada,Free,210,Desktop
SF_445,57,M,France,Subscriber,23,Mobile
SF_446,35,F,Italy,Subscriber,441,Smart TV
SF_447,13,F,USA,Subscriber,256,Desktop
SF_448,65,M,Italy,Free,96,Desktop
SF_449,13,M,India,Free,462,Desktop
SF_450,61,M,USA,Free,451,Mobile
SF_451,57,M,Canada,Subscriber,242,Tablet
SF_452,24,M,USA,Free,252,Desktop
SF_453,49,M,India,Free,406,Mobile
SF_454,18,M,France,Subscriber,214,Smart TV
SF_455,33,F,Italy,Subscriber,442,Tablet
SF_456,45,M,USA,Subscriber,476,Tablet
SF_457,34,M,France,Free,172,Smart TV
SF_458,52,M,France,Subscriber,317,Mobile
SF_459,22,F,Italy,Free,326,Smart TV
SF_460,39,M,USA,Free,177,Mobile
SF_461,25,M,Canada,Free,163,Desktop
SF_462,65,M,Italy,Subscriber,405,Tablet
SF_463,41,M,Canada,Free,157,Mobile
SF_464,43,F,UK,Free,358,Tablet
SF_465,33,M,Canada,Subscriber,356,Tablet
SF_466,59,M,India,Free,390,Tablet
SF_467,24,F,Canada,Subscriber,17,Tablet
SF_468,54,F,France,Subscriber,213,Desktop
SF_469,16,M,Canada,Free,473,Tablet
SF_470,61,F,UK,Free,489,Smart TV
SF_471,38,M,France,Subscriber,142,Tablet
SF_472,16,M,USA,Subscriber,93,Tablet
SF_473,38,F,USA,Subscriber,320,Smart TV
SF_474,32,M,UK,Subscriber,85,Smart TV
SF_475,41,F,Italy,Free,278,Tablet
SF_476,12,M,USA,Subscriber,492,Mobile
SF_477,40,M,Italy,Free,42,Smart TV
SF_478,36,M,UK,Free,91,Mobile
SF_479,51,M,UK,Free,274,Desktop
SF_480,54,F,UK,Free,430,Mobile
SF_481,51,M,UK,Free,325,Desktop
SF_482,40,M,India,Subscriber,452,Mobile
SF_483,22,M,India,Free,301,Tablet
SF_484,37,F,USA,Subscriber,134,Smart TV
SF_485,58,M,France,Subscriber,395,Mobile
SF_486,58,M,India,Subscriber,193,Mobile
SF_487,21,F,USA,Free,308,Mobile
SF_488,53,M,Canada,Subscriber,247,Mobile
SF_489,64,M,UK,Free,136,Smart TV
SF_490,11,M,India,Subscriber,393,Tablet
SF_491,64,M,USA,Free,244,Tablet
SF_492,28,M,India,Free,215,Smart TV
SF_493,11,M,UK,Free,105,Mobile
SF_494,36,F,UK,Subscriber,263,Mobile
SF_495,27,M,USA,Subscriber,81,Mobile
SF_496,9,M,USA,Subscriber,284,Smart TV
SF_497,29,F,France,Subscriber,384,Mobile
SF_498,35,M,Italy,Free,99,Mobile
SF_499,12,F,India,Free,376,Smart TV
SF_500,28,F,India,Subscriber,35,Tablet
SF_501,23,M,France,Free,424,Tablet
SF_502,33,M,UK,Free,50,Desktop
SF_503,46,M,UK,Subscriber,16,Tablet
SF_504,9,M,Canada,Free,210,Tablet
SF_505,33,M,UK,Free,283,Mobile
SF_506,29,M,UK,Free,442,Mobile
SF_507,33,F,UK,Free,378,Tablet
SF_508,12,M,India,Subscriber,135,Desktop
SF_509,24,M,France,Free,339,Mobile
SF_510,51,M,Canada,Free,324,Mobile
SF_511,26,F,UK,Free,321,Smart TV
SF_512,25,M,France,Subscriber,280,Tablet
SF_513,22,M,Italy,Free,458,Smart TV
SF_514,57,M,France,Free,257,Mobile
SF_515,57,M,USA,Free,20,Smart TV
SF_516,51,F,India,Free,484,Smart TV
SF_517,11,F,India,Free,403,Smart TV
SF_518,55,F,Canada,Free,319,Desktop
SF_519,51,F,Italy,Subscriber,464,Desktop
SF_520,23,F,Canada,Free,311,Tablet
SF_521,9,M,India,Subscriber,212,Desktop
SF_522,48,M,India,Subscriber,198,Smart TV
SF_523,40,M,France,Free,238,Desktop
SF_524,30,M,France,Free,208,Smart TV
SF_525,36,M,India,Free,384,Mobile
SF_526,11,M,India,Free,231,Mobile
SF_527,53,F,India,Subscriber,452,Smart TV
SF_528,23,F,France,Free,86,Desktop
SF_529,58,M,France,Subscriber,421,Smart TV
SF_530,25,M,Canada,Free,198,Tablet
SF_531,41,F,India,Free,210,Desktop
SF_532,46,M,Canada,Subscriber,221,Mobile
SF_533,36,M,India,Subscriber,49,Desktop
SF_534,10,M,USA,Subscriber,69,Smart TV
SF_535,65,M,UK,Free,253,Mobile
SF_536,40,M,Italy,Free,395,Mobile
SF_537,24,M,France,Subscriber,10,Desktop
SF_538,52,M,Canada,Free,123,Mobile
SF_539,24,M,India,Free,31,Desktop
SF_540,16,M,Italy,Subscriber,489,Mobile
SF_541,15,F,India,Free,330,Desktop
SF_542,13,M,Canada,Subscriber,440,Tablet
SF_543,11,M,UK,Free,108,Smart TV
SF_544,22,M,Canada,Free,308,Smart TV
SF_545,12,M,France,Subscriber,318,Mobile
SF_546,42,F,India,Subscriber,89,Tablet
SF_547,44,M,India,Free,169,Mobile
SF_548,21,F,India,Subscriber,342,Smart TV
SF_549,44,M,Canada,Free,268,Desktop
SF_550,10,M,France,Free,320,Mobile
SF_551,47,M,India,Subscriber,372,Mobile
SF_552,36,M,USA,Free,300,Tablet
SF_553,31,M,Italy,Free,21,Desktop
SF_554,14,M,France,Free,484,Tablet
SF_555,9,M,India,Free,125,Desktop
SF_556,59,F,India,Free,62,Smart TV
SF_557,45,M,USA,Subscriber,79,Mobile
SF_558,43,M,France,Subscriber,491,Mobile
SF_559,47,F,France,Subscriber,474,Mobile
SF_560,42,M,France,Subscriber,89,Desktop
SF_561,19,F,Canada,Free,292,Smart TV
SF_562,10,M,Canada,Free,251,Tablet
SF_563,38,M,Italy,Subscriber,332,Smart TV
SF_564,41,M,USA,Free,30,Smart TV
SF_565,48,M,Italy,Subscriber,381,Desktop
SF_566,43,M,Italy,Subscriber,94,Desktop
SF_567,47,M,USA,Free,300,Tablet
SF_568,35,F,USA,Subscriber,187,Mobile
SF_569,43,F,UK,Subscriber,390,Smart TV
SF_570,38,M,Canada,Free,299,Mobile
SF_571,58,M,USA,Subscriber,471,Desktop
SF_572,18,M,USA,Free,168,Smart TV
SF_573,57,F,UK,Subscriber,472,Mobile
SF_574,54,M,USA,Free,225,Desktop
SF_575,54,M,UK,Free,461,Smart TV
SF_576,25,F,France,Subscriber,314,Mobile
SF_577,55,M,UK,Free,258,Smart TV
SF_578,36,M,India,Subscriber,294,Smart TV
SF_579,28,M,France,Subscriber,417,Tablet
SF_580,36,M,Canada,Free,343,Mobile
SF_581,57,M,UK,Free,301,Tablet
SF_582,44,M,USA,Free,213,Tablet
SF_583,37,F,USA,Subscriber,125,Smart TV
SF_584,26,F,India,Subscriber,382,Desktop
SF_585,49,M,USA,Subscriber,310,Smart TV
SF_586,60,M,Canada,Subscriber,148,Smart TV
SF_587,17,M,France,Free,473,Mobile
