MovieID,Title,Genres,Language,Country,Total Views
36,Dead Man Walking (1995),Drama,French,UK,6664
37,Across the Sea of Time (1995),Documentary,Italian,France,96231
38,It Takes Two (1995),Comedy,Italian,Canada,42456
39,Clueless (1995),Comedy|Romance,Spanish,India,17636
40,"Cry, the Beloved Country (1995)",Drama,Spanish,France,56407
41,Richard III (1995),Drama|War,Italian,USA,22916
42,Dead Presidents (1995),Action|Crime|Drama,French,Italy,80657
43,Restoration (1995),Drama,English,Italy,59361
44,Mortal Kombat (1995),Action|Adventure,Spanish,UK,55503
45,To Die For (1995),Comedy|Drama,German,Italy,9861
46,How to Make an American Quilt (1995),Drama|Romance,German,Canada,24155
47,Seven (Se7en) (1995),Crime|Thriller,Spanish,Italy,44918
48,Pocahontas (1995),Animation|Children's|Musical|Romance,Italian,Italy,89436
49,When Night Is Falling (1995),Drama|Romance,French,India,92016
50,"Usual Suspects, The (1995)",Crime|Thriller,Italian,India,86782
51,Guardian Angel (1994),Action|Drama|Thriller,English,India,86868
52,Mighty Aphrodite (1995),Comedy,German,Italy,16459
53,Lamerica (1994),Drama,Spanish,Canada,11033
54,"Big Green, The (1995)",Children's|Comedy,French,UK,31907
55,Georgia (1995),Drama,French,UK,71386
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,French,Canada,12661
57,Home for the Holidays (1995),Drama,Spanish,Canada,17251
58,"Postino, Il (The Postman) (1994)",Drama|Romance,German,France,3466
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,French,UK,75571
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,English,France,33177
61,Eye for an Eye (1996),Drama|Thriller,German,Canada,82291
62,Mr. Holland's Opus (1995),Drama,French,France,44033
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,Italian,UK,5798
64,Two if by Sea (1996),Comedy|Romance,French,UK,71031
65,Bio-Dome (1996),Comedy,Spanish,USA,39634
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,German,Italy,79659
67,Two Bits (1995),Drama,Spanish,USA,64963
68,French Twist (Gazon maudit) (1995),Comedy|Romance,French,USA,22424
69,Friday (1995),Comedy,Spanish,India,57490
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,French,UK,31523
71,Fair Game (1995),Action,Italian,France,3878
72,Kicking and Screaming (1995),Comedy|Drama,Spanish,UK,89414
73,"Misérables, Les (1995)",Drama|Musical,Spanish,USA,60469
74,Bed of Roses (1996),Drama|Romance,Spanish,USA,47208
75,Big Bully (1996),Comedy|Drama,German,Canada,72712
76,Screamers (1995),Sci-Fi|Thriller,English,France,87717
77,Nico Icon (1995),Documentary,English,USA,25310
78,"Crossing Guard, The (1995)",Drama,German,USA,29119
79,"Juror, The (1996)",Drama|Thriller,Italian,Italy,62017
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,Italian,Italy,26286
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,Italian,India,64321
82,Antonia's Line (Antonia) (1995),Drama,English,Canada,4373
83,Once Upon a Time... When We Were Colored (1995),Drama,English,USA,58713
84,Last Summer in the Hamptons (1995),Comedy|Drama,German,Canada,38384
85,Angels and Insects (1995),Drama|Romance,Italian,USA,73246
86,White Squall (1996),Adventure|Drama,Italian,France,17692
87,Dunston Checks In (1996),Children's|Comedy,Italian,Canada,25583
88,Black Sheep (1996),Comedy,English,France,96230
89,Nick of Time (1995),Action|Thriller,English,UK,85159
90,"Journey of August King, The (1995)",Drama,Italian,Italy,82407
92,Mary Reilly (1996),Drama|Thriller,Italian,USA,33125
93,Vampire in Brooklyn (1995),Comedy|Romance,Spanish,Italy,60342
94,Beautiful Girls (1996),Drama,English,UK,69599
95,Broken Arrow (1996),Action|Thriller,German,Canada,23271
96,In the Bleak Midwinter (1995),Comedy,English,USA,9483
97,"Hate (Haine, La) (1995)",Drama,French,India,88043
98,Shopping (1994),Action|Thriller,Italian,Italy,57302
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Italian,Canada,25024
100,City Hall (1996),Drama|Thriller,Italian,UK,23783
101,Bottle Rocket (1996),Comedy,English,Italy,59763
102,Mr. Wrong (1996),Comedy,French,Italy,92015
103,Unforgettable (1996),Thriller,German,Canada,43078
104,Happy Gilmore (1996),Comedy,German,India,2602
105,"Bridges of Madison County, The (1995)",Drama|Romance,Spanish,India,93429
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,French,USA,86236
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,French,Italy,74030
108,Catwalk (1995),Documentary,German,India,22527
109,Headless Body in Topless Bar (1995),Comedy,German,Italy,59714
110,Braveheart (1995),Action|Drama|War,Italian,UK,6573
111,Taxi Driver (1976),Drama|Thriller,Spanish,India,91445
112,Rumble in the Bronx (1995),Action|Adventure|Crime,English,India,30625
113,Before and After (1996),Drama|Mystery,German,Canada,92556
114,Margaret's Museum (1995),Drama,German,Italy,92562
115,Happiness Is in the Field (1995),Comedy,French,Canada,48416
116,Anne Frank Remembered (1995),Documentary,Spanish,India,66807
117,"Young Poisoner's Handbook, The (1995)",Crime,German,Canada,3446
118,If Lucy Fell (1996),Comedy|Romance,German,India,21108
119,"Steal Big, Steal Little (1995)",Comedy,Spanish,UK,98849
120,Race the Sun (1996),Drama,English,India,31897
121,"Boys of St. Vincent, The (1993)",Drama,Spanish,Canada,45843
122,Boomerang (1992),Comedy|Romance,Spanish,India,58203
123,Chungking Express (1994),Drama|Mystery|Romance,German,USA,55370
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,English,USA,77201
125,Flirting With Disaster (1996),Comedy,Spanish,France,96627
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,Spanish,France,47617
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,Italian,USA,72789
128,Jupiter's Wife (1994),Documentary,English,France,16764
129,Pie in the Sky (1995),Comedy|Romance,English,India,28538
130,Angela (1995),Drama,French,UK,11996
131,Frankie Starlight (1995),Drama|Romance,English,USA,83400
132,Jade (1995),Thriller,French,Italy,37936
133,Nueba Yol (1995),Comedy|Drama,Italian,Canada,95234
134,Sonic Outlaws (1995),Documentary,English,UK,91695
135,Down Periscope (1996),Comedy,French,Canada,52277
136,From the Journals of Jean Seberg (1995),Documentary,German,UK,62013
137,Man of the Year (1995),Documentary,Spanish,UK,74222
138,"Neon Bible, The (1995)",Drama,Spanish,Italy,13075
139,Target (1995),Action|Drama,English,France,97467
140,Up Close and Personal (1996),Drama|Romance,Spanish,India,40484
141,"Birdcage, The (1996)",Comedy,French,UK,49504
142,Shadows (Cienie) (1988),Drama,English,France,18264
143,Gospa (1995),Drama,English,India,82558
144,"Brothers McMullen, The (1995)",Comedy,German,USA,18915
145,Bad Boys (1995),Action,English,Italy,72607
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,English,USA,68033
147,"Basketball Diaries, The (1995)",Drama,Spanish,France,31844
148,"Awfully Big Adventure, An (1995)",Drama,Spanish,Canada,35793
149,Amateur (1994),Crime|Drama|Thriller,French,USA,8796
150,Apollo 13 (1995),Drama,Italian,USA,33376
151,Rob Roy (1995),Drama|Romance|War,Italian,UK,40670
152,"Addiction, The (1995)",Horror,French,Italy,64261
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Spanish,USA,23973
154,Belle de jour (1967),Drama,Italian,India,10884
155,Beyond Rangoon (1995),Drama|War,Spanish,Italy,87349
156,Blue in the Face (1995),Comedy,Italian,France,14767
157,Canadian Bacon (1994),Comedy|War,French,India,51718
158,Casper (1995),Adventure|Children's,English,USA,66877
159,Clockers (1995),Drama,German,India,64558
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,English,Canada,63132
161,Crimson Tide (1995),Drama|Thriller|War,Spanish,Italy,45161
162,Crumb (1994),Documentary,French,Canada,71978
163,Desperado (1995),Action|Romance|Thriller,Italian,France,68799
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Italian,France,29235
165,Die Hard: With a Vengeance (1995),Action|Thriller,English,Canada,88265
166,"Doom Generation, The (1995)",Comedy|Drama,Italian,USA,97949
167,Feast of July (1995),Drama,Spanish,UK,31179
168,First Knight (1995),Action|Adventure|Drama|Romance,Italian,Italy,67689
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,German,USA,88892
170,Hackers (1995),Action|Crime|Thriller,German,India,23560
171,Jeffrey (1995),Comedy,French,Canada,98725
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,German,France,31896
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,Spanish,USA,58497
174,Jury Duty (1995),Comedy,German,Italy,11046
175,Kids (1995),Drama,Italian,India,29709
176,Living in Oblivion (1995),Comedy,English,Italy,94076
177,Lord of Illusions (1995),Horror,Spanish,India,14231
178,Love & Human Remains (1993),Comedy,Italian,Italy,78513
179,Mad Love (1995),Drama|Romance,French,UK,72933
180,Mallrats (1995),Comedy,Spanish,Italy,88028
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,French,USA,83712
182,Moonlight and Valentino (1995),Drama|Romance,Italian,France,1740
183,Mute Witness (1994),Thriller,English,USA,46855
184,Nadja (1994),Drama,English,France,22747
185,"Net, The (1995)",Sci-Fi|Thriller,German,Canada,23169
186,Nine Months (1995),Comedy,German,USA,59963
187,Party Girl (1995),Comedy,German,India,59835
188,"Prophecy, The (1995)",Horror,German,Canada,63522
189,Reckless (1995),Comedy,French,Canada,71202
190,Safe (1995),Thriller,German,UK,92196
191,"Scarlet Letter, The (1995)",Drama,Italian,Canada,13392
192,"Show, The (1995)",Documentary,Italian,USA,61985
193,Showgirls (1995),Drama,English,Italy,57941
194,Smoke (1995),Drama,Italian,France,95316
195,Something to Talk About (1995),Comedy|Drama|Romance,Italian,Italy,53283
196,Species (1995),Horror|Sci-Fi,English,Italy,16152
197,"Stars Fell on Henrietta, The (1995)",Drama,German,Italy,99939
198,Strange Days (1995),Action|Crime|Sci-Fi,Spanish,France,79748
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,English,UK,64286
200,"Tie That Binds, The (1995)",Thriller,French,Canada,64644
201,Three Wishes (1995),Drama,German,France,44347
202,Total Eclipse (1995),Drama|Romance,French,France,41331
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,French,Canada,72214
204,Under Siege 2: Dark Territory (1995),Action,Italian,Italy,81932
205,Unstrung Heroes (1995),Comedy|Drama,English,India,87342
206,Unzipped (1995),Documentary,German,Canada,27059
207,"Walk in the Clouds, A (1995)",Drama|Romance,Italian,Italy,9593
208,Waterworld (1995),Action|Adventure,German,Italy,89561
209,White Man's Burden (1995),Drama,English,USA,24405
210,Wild Bill (1995),Western,German,India,78979
211,"Browning Version, The (1994)",Drama,German,France,48307
212,Bushwhacked (1995),Comedy,German,France,21038
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,French,USA,95325
214,Before the Rain (Pred dozhdot) (1994),Drama,Spanish,Canada,29659
215,Before Sunrise (1995),Drama|Romance,English,USA,46925
216,Billy Madison (1995),Comedy,German,Italy,16502
217,"Babysitter, The (1995)",Drama|Thriller,Italian,UK,34150
218,Boys on the Side (1995),Comedy|Drama,Italian,Canada,56455
219,"Cure, The (1995)",Drama,Spanish,India,37262
220,Castle Freak (1995),Horror,English,France,84446
222,Circle of Friends (1995),Drama|Romance,Italian,Canada,39286
223,Clerks (1994),Comedy,French,UK,47752
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,German,Canada,75365
225,Disclosure (1994),Drama|Thriller,German,UK,6444
226,Dream Man (1995),Thriller,Spanish,Canada,68126
227,Drop Zone (1994),Action,German,Italy,66427
228,Destiny Turns on the Radio (1995),Comedy,French,Italy,81658
229,Death and the Maiden (1994),Drama|Thriller,English,France,50942
230,Dolores Claiborne (1994),Drama|Thriller,Spanish,France,64789
231,Dumb & Dumber (1994),Comedy,English,India,59321
232,Eat Drink Man Woman (1994),Comedy|Drama,English,India,41470
233,Exotica (1994),Drama,German,France,99707
234,Exit to Eden (1994),Comedy,Spanish,India,4986
235,Ed Wood (1994),Comedy|Drama,French,Italy,96646
236,French Kiss (1995),Comedy|Romance,German,France,36010
237,Forget Paris (1995),Comedy|Romance,German,UK,38472
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,German,Canada,59607
239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,English,Canada,35812
240,Hideaway (1995),Thriller,Spanish,France,55161
241,Fluke (1995),Children's|Drama,German,India,92416
242,Farinelli: il castrato (1994),Drama|Musical,Spanish,UK,31093
243,Gordy (1995),Comedy,German,Italy,98151
244,Gumby: The Movie (1995),Animation|Children's,Italian,Italy,9911
245,"Glass Shield, The (1994)",Crime|Drama,Spanish,Italy,91986
246,Hoop Dreams (1994),Documentary,Spanish,France,98198
247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,French,Italy,40411
248,Houseguest (1994),Comedy,German,Canada,24450
249,Immortal Beloved (1994),Drama|Romance,French,Italy,87844
250,Heavyweights (1994),Children's|Comedy,Italian,France,39801
251,"Hunted, The (1995)",Action,English,Canada,61079
252,I.Q. (1994),Comedy|Romance,French,France,19711
253,Interview with the Vampire (1994),Drama|Horror,German,France,59952
254,Jefferson in Paris (1995),Drama,English,France,58062
255,"Jerky Boys, The (1994)",Comedy,English,UK,53835
256,Junior (1994),Comedy|Sci-Fi,Italian,USA,50374
257,Just Cause (1995),Mystery|Thriller,Italian,France,39610
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance,French,USA,81252
259,Kiss of Death (1995),Crime|Drama|Thriller,Italian,France,72724
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,Spanish,France,6999
261,Little Women (1994),Drama,French,Italy,33536
262,"Little Princess, A (1995)",Children's|Drama,Italian,Italy,81269
263,Ladybird Ladybird (1994),Drama,Spanish,France,7920
264,"Enfer, L' (1994)",Drama,German,France,35437
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,Spanish,India,28554
266,Legends of the Fall (1994),Drama|Romance|War|Western,English,France,86890
267,Major Payne (1994),Comedy,French,UK,28606
268,Little Odessa (1994),Drama,Italian,Italy,68264
269,My Crazy Life (Mi vida loca) (1993),Drama,Italian,Italy,99707
270,Love Affair (1994),Drama|Romance,French,Canada,14485
271,Losing Isaiah (1995),Drama,English,Canada,52290
272,"Madness of King George, The (1994)",Drama,German,Italy,35569
273,Mary Shelley's Frankenstein (1994),Drama|Horror,French,France,20504
274,Man of the House (1995),Comedy,Italian,UK,44241
275,Mixed Nuts (1994),Comedy,French,India,89459
276,Milk Money (1994),Comedy|Romance,Italian,Canada,29952
277,Miracle on 34th Street (1994),Drama,English,Canada,15802
278,Miami Rhapsody (1995),Comedy,Italian,USA,44822
279,My Family (1995),Drama,Spanish,France,61917
280,Murder in the First (1995),Drama|Thriller,French,Italy,20830
281,Nobody's Fool (1994),Drama,English,USA,19780
282,Nell (1994),Drama,Spanish,India,56967
283,New Jersey Drive (1995),Crime|Drama,French,India,15267
284,New York Cop (1996),Action|Crime,Spanish,Canada,43512
285,Beyond Bedlam (1993),Drama|Horror,Spanish,France,17852
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,Spanish,UK,22777
287,Nina Takes a Lover (1994),Comedy|Romance,Spanish,UK,53849
288,Natural Born Killers (1994),Action|Thriller,German,India,71580
289,Only You (1994),Comedy|Romance,German,USA,11883
290,Once Were Warriors (1994),Crime|Drama,Italian,USA,77184
291,Poison Ivy II (1995),Thriller,English,UK,51429
292,Outbreak (1995),Action|Drama|Thriller,French,France,14801
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,Italian,France,86482
294,"Perez Family, The (1995)",Comedy|Romance,Italian,Italy,99511
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,German,India,54435
296,Pulp Fiction (1994),Crime|Drama,German,UK,88088
297,Panther (1995),Drama,German,France,95668
298,Pushing Hands (1992),Comedy,German,UK,69031
299,Priest (1994),Drama,German,UK,36275
300,Quiz Show (1994),Drama,Spanish,Italy,1998
301,Picture Bride (1995),Drama|Romance,German,India,27468
302,Queen Margot (La Reine Margot) (1994),Drama|Romance,Italian,USA,59757
303,"Quick and the Dead, The (1995)",Action|Adventure|Western,German,France,83192
304,Roommates (1995),Comedy|Drama,German,India,86279
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,Italian,UK,53105
306,Three Colors: Red (1994),Drama,English,USA,92912
307,Three Colors: Blue (1993),Drama,English,India,27548
308,Three Colors: White (1994),Drama,Italian,France,84468
309,"Red Firecracker, Green Firecracker (1994)",Drama,German,France,72056
310,Rent-a-Kid (1995),Comedy,German,UK,52788
311,Relative Fear (1994),Horror|Thriller,German,UK,83795
312,Stuart Saves His Family (1995),Comedy,Spanish,UK,54560
313,"Swan Princess, The (1994)",Animation|Children's,French,Italy,43464
314,"Secret of Roan Inish, The (1994)",Drama,French,Italy,83478
315,"Specialist, The (1994)",Action,Italian,India,56926
316,Stargate (1994),Action|Adventure|Sci-Fi,French,UK,29129
317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,German,USA,17195
318,"Shawshank Redemption, The (1994)",Drama,French,France,35083
319,Shallow Grave (1994),Thriller,French,India,34330
320,Suture (1993),Film-Noir|Thriller,English,India,18193
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,English,France,12085
322,Swimming with Sharks (1995),Comedy|Drama,English,Canada,14423
324,"Sum of Us, The (1994)",Comedy,German,Canada,36898
325,National Lampoon's Senior Trip (1995),Comedy,German,France,25430
326,To Live (Huozhe) (1994),Drama,English,UK,56751
327,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,Italian,India,18245
328,Tales From the Crypt Presents: Demon Knight (1995),Horror,French,India,54921
329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,German,India,52595
330,Tales from the Hood (1995),Comedy|Horror,Spanish,UK,79725
331,Tom & Viv (1994),Drama,German,Canada,17297
332,Village of the Damned (1995),Horror|Sci-Fi,Italian,Canada,29471
333,Tommy Boy (1995),Comedy,English,France,37402
334,Vanya on 42nd Street (1994),Drama,German,Canada,83671
335,"Underneath, The (1995)",Mystery|Thriller,French,France,44792
336,"Walking Dead, The (1995)",Drama|War,French,Canada,25357
337,What's Eating Gilbert Grape (1993),Drama,German,Canada,24279
338,Virtuosity (1995),Sci-Fi|Thriller,German,USA,73889
339,While You Were Sleeping (1995),Comedy|Romance,Spanish,USA,70377
340,"War, The (1994)",Adventure|Drama,German,UK,78733
341,Double Happiness (1994),Drama,Italian,Canada,34138
342,Muriel's Wedding (1994),Comedy|Romance,French,UK,32993
343,"Baby-Sitters Club, The (1995)",Children's,English,Canada,79408
344,Ace Ventura: Pet Detective (1994),Comedy,English,USA,20004
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,Spanish,UK,45243
346,Backbeat (1993),Drama|Musical,French,India,29320
347,Bitter Moon (1992),Drama,English,UK,59986
348,Bullets Over Broadway (1994),Comedy,Spanish,Italy,46449
349,Clear and Present Danger (1994),Action|Adventure|Thriller,Spanish,France,94911
350,"Client, The (1994)",Drama|Mystery|Thriller,French,USA,14307
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,French,India,59355
352,Crooklyn (1994),Comedy,French,Italy,45284
353,"Crow, The (1994)",Action|Romance|Thriller,French,USA,27749
354,Cobb (1994),Drama,English,UK,49764
355,"Flintstones, The (1994)",Children's|Comedy,French,Canada,86436
356,Forrest Gump (1994),Comedy|Romance|War,English,France,65238
357,Four Weddings and a Funeral (1994),Comedy|Romance,Spanish,Canada,65106
358,Higher Learning (1995),Drama,French,Italy,63449
359,I Like It Like That (1994),Comedy|Drama|Romance,Italian,USA,7886
360,I Love Trouble (1994),Action|Comedy,German,France,80037
361,It Could Happen to You (1994),Drama|Romance,Italian,Italy,24871
362,"Jungle Book, The (1994)",Adventure|Children's|Romance,English,Canada,9482
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary,Italian,USA,78850
364,"Lion King, The (1994)",Animation|Children's|Musical,Spanish,Italy,61596
365,Little Buddha (1993),Drama,French,Italy,76112
366,Wes Craven's New Nightmare (1994),Horror,French,India,61011
367,"Mask, The (1994)",Comedy|Crime|Fantasy,German,France,95885
368,Maverick (1994),Action|Comedy|Western,French,Canada,90339
369,Mrs. Parker and the Vicious Circle (1994),Drama,Spanish,Italy,59692
370,Naked Gun 33 1/3: The Final Insult (1994),Comedy,German,France,12174
371,"Paper, The (1994)",Comedy|Drama,Italian,India,32701
372,Reality Bites (1994),Comedy|Drama,Spanish,USA,25266
373,Red Rock West (1992),Thriller,French,Italy,68634
374,Richie Rich (1994),Children's|Comedy,Spanish,USA,61033
375,Safe Passage (1994),Drama,German,France,58036
376,"River Wild, The (1994)",Action|Thriller,German,Canada,60836
377,Speed (1994),Action|Romance|Thriller,Italian,India,60013
378,Speechless (1994),Comedy|Romance,Spanish,Italy,12950
379,Timecop (1994),Action|Sci-Fi,Italian,Italy,13074
380,True Lies (1994),Action|Adventure|Comedy|Romance,Italian,France,99971
381,When a Man Loves a Woman (1994),Drama,Italian,France,6294
382,Wolf (1994),Drama|Horror,French,Italy,19239
383,Wyatt Earp (1994),Western,French,UK,75291
384,Bad Company (1995),Action,English,Canada,91941
385,"Man of No Importance, A (1994)",Drama,German,Italy,73582
386,S.F.W. (1994),Drama,Spanish,USA,65099
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,German,UK,99007
388,Boys Life (1995),Drama,French,Italy,59875
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,Italian,USA,25467
390,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama,German,India,9353
391,Jason's Lyric (1994),Crime|Drama,Italian,UK,7223
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's,German,India,41133
393,Street Fighter (1994),Action,Italian,Italy,67143
394,Coldblooded (1995),Action,German,UK,8536
395,Desert Winds (1995),Drama,French,India,31017
396,Fall Time (1995),Drama,English,France,80205
397,"Fear, The (1995)",Horror,French,India,25566
398,Frank and Ollie (1995),Documentary,Italian,UK,66939
399,Girl in the Cadillac (1995),Drama,French,Italy,87192
400,Homage (1995),Drama,Italian,France,50584
401,Mirage (1995),Action|Thriller,Italian,Italy,38832
402,Open Season (1996),Comedy,Italian,UK,48120
403,Two Crimes (1995),Comedy|Crime|Drama,French,India,40386
404,Brother Minister: The Assassination of Malcolm X (1994),Documentary,English,USA,68778
405,Highlander III: The Sorcerer (1994),Action|Sci-Fi,Italian,Canada,11670
406,Federal Hill (1994),Drama,English,USA,90895
407,In the Mouth of Madness (1995),Horror|Thriller,French,Italy,92608
408,8 Seconds (1994),Drama,French,India,28007
409,Above the Rim (1994),Drama,French,UK,72848
410,Addams Family Values (1993),Comedy,French,Canada,86896
411,You So Crazy (1994),Comedy,German,USA,10780
412,"Age of Innocence, The (1993)",Drama,Spanish,India,13946
413,Airheads (1994),Comedy,German,India,83741
414,"Air Up There, The (1994)",Comedy,Spanish,India,80164
415,Another Stakeout (1993),Comedy|Thriller,German,Canada,20255
416,Bad Girls (1994),Western,German,France,47631
417,Barcelona (1994),Comedy|Romance,French,USA,62459
418,Being Human (1993),Drama,English,Canada,29914
419,"Beverly Hillbillies, The (1993)",Comedy,English,France,58720
420,Beverly Hills Cop III (1994),Action|Comedy,Italian,France,31907
421,Black Beauty (1994),Adventure|Children's,French,France,3439
422,Blink (1994),Thriller,Spanish,USA,83241
423,Blown Away (1994),Action|Thriller,English,Italy,29801
424,Blue Chips (1994),Drama,Italian,Italy,13481
425,Blue Sky (1994),Drama|Romance,Italian,Italy,26663
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,Italian,USA,5407
427,Boxing Helena (1993),Mystery|Romance|Thriller,French,Canada,68826
428,"Bronx Tale, A (1993)",Drama,Spanish,France,14528
429,Cabin Boy (1994),Comedy,French,USA,66504
430,Calendar Girl (1993),Drama,Spanish,India,69232
431,Carlito's Way (1993),Crime|Drama,English,Canada,43990
432,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western,Spanish,Italy,45361
433,Clean Slate (1994),Comedy,French,India,40176
434,Cliffhanger (1993),Action|Adventure|Crime,French,Canada,50242
435,Coneheads (1993),Comedy|Sci-Fi,Spanish,USA,35983
436,Color of Night (1994),Drama|Thriller,German,Italy,11819
437,Cops and Robbersons (1994),Comedy,German,India,56489
438,"Cowboy Way, The (1994)",Action|Comedy,French,France,24653
439,Dangerous Game (1993),Drama,Italian,India,6661
440,Dave (1993),Comedy|Romance,German,France,5686
441,Dazed and Confused (1993),Comedy,Italian,India,11496
442,Demolition Man (1993),Action|Sci-Fi,Italian,UK,12816
443,"Endless Summer 2, The (1994)",Documentary,German,France,10508
444,Even Cowgirls Get the Blues (1993),Comedy|Romance,German,UK,16305
445,Fatal Instinct (1993),Comedy,French,USA,6485
446,Farewell My Concubine (1993),Drama|Romance,English,France,35911
447,"Favor, The (1994)",Comedy|Romance,French,USA,45087
448,Fearless (1993),Drama,English,Canada,4576
449,Fear of a Black Hat (1993),Comedy,English,Canada,33385
450,With Honors (1994),Comedy|Drama,French,Canada,70273
451,Flesh and Bone (1993),Drama|Mystery|Romance,German,France,69697
452,Widows' Peak (1994),Drama,English,France,47567
453,For Love or Money (1993),Comedy,Italian,France,40731
